MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
3497,"Corrective Maintenance",3468,3,3
3549,"Debit Note Cancellation",3542,3,3
1039,"New/Returning Student",1032,3,4
2797,"List of returning student whose insurance invoice at iFAS",1032,3,4
1582,"My Request Form",1040,3,4
2108,"Receipt Collection Entry",1047,3,4
1530,"Credit Note Form",1061,3,4
1220,"List of Work Order Instruction",1135,3,4
1196,"List of Overtime Claim",1136,3,4
1249,"Notification OT Claim",1136,3,4
1491,"Invoice Generation",1149,3,4
2708,"List of Emergency Fund (Paid)",1174,3,4
1286,"DC - Report Listing General",1263,3,4
2526,"EC Process By Individual",1359,3,4
1417,Bank,1405,3,4
1517,"Monthly Schedule Investment",1414,3,4
1443,"Tax Child Relief",1436,3,4
1463,"Job Status",1461,3,4
1893,"Income Adjustment Report",1481,3,4
1493,"List of Withdrawal - Rejected",1497,3,4
1946,Journal,1668,3,4
3023,"Zakat / Waqaf Deduction Application Portal",1695,3,4
1660,"List of Bank Guarantee",1721,3,4
1936,"Non-Invoice Structure",1786,3,4
2298,"Voucher Cancel",1818,3,4
1932,"List Of Jobscope",1819,3,4
1891,"Individual Allowance & Deduction",1854,3,4
3032,"Delete By Bulk",1854,3,4
2502,"Laporan Buku Tunai Panjar Wang Runcit",1880,3,4
1674,"Disposed Batch Listing",1976,3,4
3374,"Laporan Pendaftaran Aset",1991,3,4
2030,"New PO Cancellation",2048,3,4
1887,"Cost Centre",2210,3,4
2360,"List of Cost Centre",2211,3,4
2281,"Matching Report Transaction",2262,3,4
2444,"Integration - Activity",2276,3,4
2336,"Report Ageing",2292,3,4
2283,"Debit Note",2312,3,4
2344,Manage,2315,3,4
2320,"List of Purchase Requisition Cancellation",2319,3,4
2409,"Journal Bill Cancel @ Knockoff",2377,3,4
3009,"Penyata Penyesuaian Bank",2532,3,4
2752,"List of All Application (Approver)",2592,3,4
3077,"Auditor WIP Report",2672,3,4
3348,"List of Voucher Money Transfer",3269,3,4
3416,"Perbelanjaan LPPM",3403,3,4
3474,"Overall Treatment Ledger by Staff",3459,3,4
3516,"BS P&L",3463,3,4
3501," Schedule Maintenance Listing",3468,3,4
3550,"Debit Note Cancellation Form",3542,3,4
2799,"List of new/returning student whose insurance is duplicate/multiple",1032,3,5
1728,"Debtor Profile",1040,3,5
1742,"Bank-In Slip Generation",1044,3,5
1325,"List Of Staff",1051,3,5
1070,"Account Code Setup",1059,3,5
1279,"DN Form - En Masri",1061,3,5
1666,"Work Order Received",1135,3,5
1981,"Collected Hours",1136,3,5
2754,"Emergency Fund Cashbook Report",1174,3,5
1538,"Insurance Report Listing",1263,3,5
1487,"FD Summary",1414,3,5
1464,"Title Staff",1461,3,5
1836,"Listing of Staff",1481,3,5
2506,"Dasar Sedia Ada",1574,3,5
2151,Bill,1668,3,5
2540,"Other Deduction",1695,3,5
1847,"Online Payment History",1736,3,5
1859,Receipt,1736,3,5
2412,"Journal Voucher Cancel ",1818,3,5
2066,"Assessment Question",1819,3,5
3350,"Laporan Buku Tunai",1880,3,5
3387,"Asset Disposal Listing",1976,3,5
2431,"Laporan Aset Mengikut Jabatan Dan Lokasi",1991,3,5
2041,"Cancel PO Partial Listing",2048,3,5
1552,"Account Code",2210,3,5
2331,"Penyata Penyesuaian Bank",2262,3,5
2642,"Report Detail Ageing",2292,3,5
2355,"Bill Cancel @ Knockoff Listing",2377,3,5
2533,"Closing - Attachment 1",2532,3,5
3306,"Committee Report",2822,3,5
2724,Selection,2826,3,5
2951,"Completed List",2947,3,5
3431,"Terimaan dan Bayaran Bil",3403,3,5
3473,"Notification Letter",3459,3,5
1757,"Recurring List",1040,3,6
1761,"Bank-In Slip Download",1044,3,6
2347,"List of Receipt on Behalf",1044,3,6
2939,"Online Payment Requery",1044,3,6
1071,"Discount Structure",1059,3,6
1576,"Debit Note Form",1061,3,6
1187,"Loan Disbursement",1097,3,6
3060,"Advance Payment",1130,3,6
2709,"Emergency Fund (Unblock)",1174,3,6
3465,"Bonus Generation",1250,3,6
1539,"Statistic Record By Category",1263,3,6
1334," Budget Structure List",1293,3,6
2313,"EC Remuneration Staff",1359,3,6
1418,"Investment Type & GL Code",1405,3,6
1488,"FD Details",1414,3,6
1889,"Variance Allowance And Deduction",1481,3,6
1959,"Asset Approval (GRN/Bill) ",1668,3,6
2773,"Emergency Fund",1695,3,6
1955,"Bank Account No For Updated",1922,3,6
2166,"Bilangan Hari Daftar Bil Belum Bayar",1969,3,6
3390,Integration,1976,3,6
3349,"Laporan Susut Nilai Aset",1991,3,6
2042,"New Cancel PO Partial",2048,3,6
1546,"Cascade Structure",2210,3,6
2167,"List of Cascade Structure",2211,3,6
3453,"List of Account Code (PPI)",2211,3,6
2588,"Online Payment History",2312,3,6
3038,"List of PR To Be Cancel",2319,3,6
2534,"Closing - Attachment 2",2532,3,6
3100,"Report Vendor Assessment (GRN)",2852,3,6
1740,"Update Foreign Currency",1044,3,7
2348,"Entry Form on Behalf",1044,3,7
1072,"Insurance Institution",1059,3,7
1280,"DC Form - En Masri",1061,3,7
2833,"Roster Schedule",1136,3,7
2736,"List of Received Recoup Amount",1174,3,7
1550,"Sponsor Invoice Data Listing",1263,3,7
1367,"Income Tax Report",1359,3,7
2759,"Process By Bill",1359,3,7
3188,"List of Investment Accrual (Posting)",1414,3,7
3339,"Bank Negara Malaysia (BNM)",1436,3,7
1467,Religion,1461,3,7
1995,"Checklist Of Data Transfer",1481,3,7
1843,"Credit Note",1736,3,7
2572,"Signature Setup",1786,3,7
3535,"Voucher Process",1818,3,7
3430,"Details Transaction",1950,3,7
3508,"Trial Balance",1950,3,7
3423,Warrant,1966,3,7
2847,"Senarai Semak Pembatalan Pendaftaran Aset",1991,3,7
3341,Closing,2048,3,7
3039,"Purchase Requisition Cancel",2319,3,7
2535,"Closing - Attachment 3",2532,3,7
3106,"Report Vendor Assessment (WPN)",2852,3,7
1758,"Recurring Contract Setup",1040,3,8
2500,Counter,1047,3,8
1073,"Barring Type",1059,3,8
1571,"Discount Note Form",1061,3,8
1928,Refund,1097,3,8
2842,"Shift Day Off",1136,3,8
1927,Journal,1140,3,8
1790,"Summary Report Of Fees By Semester",1263,3,8
3456,"Budget Planning Schedule",1293,3,8
3191,"List of Accrual (No Posting Number)",1414,3,8
1410,Table,1436,3,8
1468,Race,1461,3,8
1978,"Data Change Checklist (Before Process Payroll)",1481,3,8
3012,"Budget Planning Allocation 2 List",1574,3,8
3309,"Loan Deferred Payment",1695,3,8
1857,"Discount Note",1736,3,8
1858,Sponsor,1736,3,8
3507,"Premise Details",1786,3,8
3424,"Budget Report By PTJ",1966,3,8
2198,"Laporan Baucar Bayaran",1969,3,8
2766,"Listing of Payee old",1969,3,8
2906,"Senarai Aset Alih Tidak Dilulus Untuk Dilupuskan",1991,3,8
2664,"Daily Summary",2262,3,8
2762,"Advertisement Complete",2826,3,8
3018,Commission,2947,3,8
1074,"Barring Policy",1059,3,9
1311,"Receipt by Batch Form",1061,3,9
1287,Cheque,1096,3,9
1794,"Report of Accommodation Fees  according to Student Accommodation",1263,3,9
1431,Tenure,1405,3,9
3319,"Investment Report",1414,3,9
2153,"Zakat / Waqaf Deduction",1436,3,9
1469,State,1461,3,9
1894,"List Of Payment Receiver",1481,3,9
